id,Event URL,Beedier Event ID
115,https://www.bco.org.uk/product/bco-nextgen-london-yoga-breakfast-edenica,13126
116,https://www.bco.org.uk/product/bco-south-west-seminar-inclusive-design-for-the-workplace,13122
117,https://www.bco.org.uk/product/bco-nextgen-scotland-x-bpf-futures-glasgow-a-city-in-the-making,13111
118,https://www.bco.org.uk/product/bco-bitesize-tour-1-colmore-row,13113
119,https://www.bco.org.uk/product/bco-nextgen-london-tbc-london-talk-tour,13121
120,https://www.bco.org.uk/product/bco-nextgen-scotland-lets-talk-about-acoustics-designing-for-focus-wellness-inclusion,13125
121,https://www.bco.org.uk/product/bco-south-west-talk-tour-inventa,13133
122,https://www.bco.org.uk/product/bco-south-west-seminar-from-waste-to-value-how-circularity-is-reshaping-real-estate-and-construction,13123
123,https://www.bco.org.uk/product/bco-east-anglia-seminar-uk-net-zero-carbon-building-standard-lunch-learn,13112
124,https://www.bco.org.uk/product/bco-london-talk-tour-myo-st-pauls,13136
125,https://www.bco.org.uk/product/bco-nextgen-north-talk-tour-overbury-manchester,13120
126,https://www.bco.org.uk/product/bco-north-talk-tour-plot-9a,13138
127,https://www.bco.org.uk/product/bco-scotland-talk-tour-into-the-beyond-ai-the-final-frontier,13137
128,https://www.bco.org.uk/product/bco-south-west-talk-tour-crescent-and-the-nzc-building-standard,13135
129,https://www.bco.org.uk/product/bco-nextgen-scotland-bitesize-tour-cundall-edinburgh,13134
130,https://www.bco.org.uk/product/bco-east-anglia-talk-tour-ttp-campus,13131
131,https://www.bco.org.uk/product/bco-nextgen-london-hiit-breakfast-100-wood-street-2,13130
132,https://www.bco.org.uk/product/bco-nextgen-london-yoga-breakfast-100-wood-street-2,13132
133,https://www.bco.org.uk/product/bco-south-west-talk-tour-queens-quay,13116
134,https://www.eventbrite.com/e/progress-in-solar-architecture-a-half-day-event-tickets-1318662658509?aff=ebdssbdestsearch,13147
135,https://www.eventbrite.co.uk/e/a-piece-of-their-mind-with-adelina-fasan-tickets-1343718270519?aff=ebdssbdestsearch,13155
136,https://www.eventbrite.co.uk/e/rsaw-summer-conference-2025-tickets-1309850832099?aff=ebdssbdestsearch,13156
137,https://www.eventbrite.co.uk/e/immersive-regency-design-experience-tickets-1228057576269?aff=ebdssbdestsearch,13154
138,https://www.eventbrite.co.uk/e/be-the-change-you-want-to-see-tickets-1299199072399?aff=ebdssbdestsearch,13140
139,https://www.eventbrite.co.uk/e/design-construction-speed-networking-tickets-1354914769549?aff=ebdssbdestsearch,13150
140,https://www.eventbrite.co.uk/e/meet-your-construction-partners-vip-event-tickets-811282687357?aff=ebdssbdestsearch,13159
141,https://www.eventbrite.co.uk/e/the-baa-built-environment-dinner-tickets-1273598008929?aff=ebdssbdestsearch,13146
142,https://www.eventbrite.co.uk/e/reverse-mentoring-rethinking-architecture-tickets-1364001558379?aff=ebdssbdestsearch,13158
143,https://www.eventbrite.com/e/the-bias-blueprint-redesigning-perception-reshaping-spaces-tickets-1311941796229?aff=ebdssbdestsearch,13149
144,https://www.eventbrite.com/e/how-to-make-buildings-fully-accessible-listen-respond-and-push-for-change-tickets-1335260372719?aff=ebdssbdestsearch,13141
145,https://www.eventbrite.co.uk/e/women-in-construction-sussex-summer-social-tickets-1347887330289?aff=ebdssbdestsearch,13152
146,https://www.eventbrite.co.uk/e/cyber-east-in-person-event-cambridge-tickets-1337669608809?aff=ebdssbdestsearch,13153
147,https://www.eventbrite.co.uk/e/sega-building-conversation-and-presentation-tickets-1311922608839?aff=ebdssbdestsearch,13142
148,https://www.eventbrite.co.uk/e/meet-the-architect-tickets-1368622289109?aff=ebdssbdestsearch,13148
149,https://www.eventbrite.co.uk/e/the-construction-hub-tuesday-3-june-2025-tickets-1284030562979?aff=ebdssbdestsearch,13178
150,https://www.eventbrite.com/e/integrated-nature-based-suds-masterclass-bristol-tickets-1097146256989?aff=ebdssbdestsearch,13166
151,https://www.eventbrite.co.uk/e/from-global-to-local-how-any-company-can-increase-their-csr-impact-tickets-1092388737119?aff=ebdssbdestsearch,13161
152,https://www.eventbrite.nl/e/the-city-at-eye-level-placemaking-training-field-trip-london-2025-eng-tickets-1309938414059?aff=ebdssbdestsearch,13157
153,https://www.eventbrite.co.uk/e/exemplar-sustainable-buildings-awards-tickets-1336467041899?aff=ebdssbdestsearch,13143
154,https://www.eventbrite.co.uk/e/community-carbon-connection-tickets-1358415420089?aff=ebdssbdestsearch,13188
155,https://www.eventbrite.co.uk/e/manchester-netwalk-1920s-manchester-tickets-1300476202329?aff=ebdssbdestsearch,13177
156,https://www.eventbrite.co.uk/e/eastpropawards-tickets-1202928183579?aff=ebdssbdestsearch,13163
